"first_name","last_name","years"
"Eran","Cusworth","1986"
"Bojan","Zallocco","1986"
"Nevio","Demizu","1986"
"Ziva","Vecchi","1986"
"Mohit","Speek","1986"
"Qunsheng","Speer","1986"
"Dines","Encarnacion","1986"
"Harngdar","Swick","1986"
"Freyja","Uhrig","1986"
"Zhenhua","Milicic","1986"
"Bowen","Schmezko","1986"
"Reuven","Munke","1986"
"Stabislas","Domenig","1986"
"Juichirou","Jumpertz","1986"
"Juichirou","Ghelli","1986"
"Shmuel","Georg","1986"
"Xiadong","Bach","1986"
"Guangming","Butterworth","1986"
"Irene","Setia","1986"
"Shuichi","Swiler","1986"
"Terresa","Perez","1986"
"Lidong","Borovoy","1986"
"Teiji","Eickenmeyer","1986"
"Baocai","Kroha","1986"
"Morrie","Sridhar","1986"
"Taegyun","Speckmann","1986"
"Stabislas","McFarlin","1986"
"Apostol","Ghelli","1986"
"Khun","Kuszyk","1986"
"Conor","Flanders","1986"
"Radhakrishnan","Albarhamtoshy","1986"
"Shigeu","Denna","1986"
"Uta","Frolund","1986"
"Zhiwei","Kaminger","1986"
"Sven","Krider","1986"
"Yannik","Vakili","1986"
"Khatoun","Zeilberger","1986"
"Fox","Erva","1986"
"Huai","Birrer","1986"
"Kristine","Litzler","1986"
"Eirik","Farrel","1986"
"Wayne","Levergood","1986"
"Chrisa","Cullers","1986"
"Manton","Perko","1986"
"Etsuo","Ratzlaff","1986"
"Odysseas","Erie","1986"
"Ingmar","Lambe","1986"
"Marin","Ashish","1986"
"JiYoung","Delaune","1986"
"Sandeepan","Sidou","1986"
"Neven","Leivant","1986"
"Sarita","Hofting","1986"
"Kolar","Karunanithi","1986"
"Shmuel","Impagliazzo","1986"
"Bedrich","Delaune","1986"
"Susanne","Asser","1986"
"Syozo","Sommen","1986"
"Ashish","Ventosa","1986"
"Ingmar","Pollacia","1986"
"Shrikanth","Ramalingam","1986"
"Rimli","Mahnke","1986"
"Adib","Chepyzhov","1986"
"Florina","Kavvadias","1986"
"Kiyomitsu","Bottner","1986"
"Berni","Thorelli","1986"
"Fumiya","Vilarrasa","1986"
"Remzi","Speckmann","1986"
"Georgi","Middleton","1986"
"Zejun","Anandan","1986"
"Kamakshi","Lipner","1986"
"Hyuncheol","Chaudhuri","1986"
"Chandrasekaran","Kaiser","1986"
"Bedir","Bashian","1986"
"Takahira","Spieker","1986"
"Krassimir","Sgarro","1986"
